situation,emotion,source,pleasantness,unpleasantness,attention,effort,self_responsibility,other_responsibility,control,certainty,goal_relevance,urgency,self_control,other_control,responsibility,circumstance
"""The last time I felt ... was when I heard Brexit protestors shouting that women MPs and women journalists should be raped for airing their opposing views and it made me ... to be part of """"so-called"""" society.""",anger,xenvent,2.6666666666666665,,1.0,1.3333333333333333,5.0,1.0,,2.0,2.3333333333333335,2.3333333333333335,5.0,2.0,,
.. when a person I served at work ignored what I asked causing me to make a computer error,anger,envent,1.0,4.0,5.0,3.0,3.0,5.0,,,1.0,5.0,4.0,5.0,,
"... I was home from college for Christmas and I was pretty ... with life, so I made a plan. I found some old acid in my dresser drawer and waited for when my parents were away for a while, then tripped balls at 7 in the morning in the freezing cold New England woods. I wound up having a panic attack in a hot tub because I couldn't breath and my friend had to pick me up before my mom came home.",boredom,envent,3.0,2.0,5.0,5.0,5.0,1.0,,,1.0,1.0,4.0,3.0,,
"... I was on a research trip on the Amazon River, taking off from a small town called Iquitos. One night, while waiting outside a restaurant to grab a bite, a very young child took their clothes off and pissed all over the street. The parent right there, watching, sitting in the puddle.",disgust,envent,1.0,3.0,2.0,1.0,1.0,5.0,,,1.0,1.0,1.0,5.0,,
... in baking a cake for my father and he liked it.,pride,envent,4.0,1.0,4.0,4.0,2.0,2.0,,,4.0,3.0,4.0,3.0,,
... my gut feeling about a situation,trust,envent,4.0,2.0,5.0,5.0,4.0,3.0,,,5.0,4.0,2.0,4.0,,
... of not being able to support my family fanatically,fear,envent,1.0,5.0,3.0,5.0,4.0,4.0,,,5.0,4.0,4.0,4.0,,
... others to help me down when stuck on a mountain,trust,envent,3.0,3.0,5.0,5.0,5.0,4.0,,,5.0,5.0,4.0,4.0,,
... was felt when i eventually passed my driving test as i didnt need to continue practicing and spending all my money,relief,envent,5.0,1.0,3.0,4.0,4.0,5.0,,,5.0,3.0,4.0,2.0,,
... when he came to my room,no-emotion,envent,3.0,3.0,3.0,4.0,4.0,1.0,,,5.0,2.0,5.0,2.0,,
...when the DWP cut off all of our benefits in one go at the start of the cover pandemic.,fear,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,5.0,5.0,1.0,5.0,,
16th sept 2020 my beautiful 12year old staffie passed away.,sadness,envent,1.0,5.0,5.0,5.0,1.0,1.0,,,5.0,5.0,1.0,1.0,,
2 of my colleagues went behind my back,anger,envent,2.0,4.0,4.0,3.0,2.0,4.0,,,3.0,5.0,3.0,3.0,,
3 years after my sister passed away,no-emotion,envent,1.0,5.0,5.0,5.0,1.0,5.0,,,3.0,5.0,1.0,5.0,,
"4 years ago i had open heart surgery done. I was new to the hospital and knew none of the doctors or nurses, even though I did not know the surgeon I implicitly ... him and his decisions.",trust,envent,2.0,4.0,4.0,5.0,1.0,1.0,,,3.0,5.0,2.0,4.0,,
"a ""friend"" of mine made some statements about her attempts at finding a guy on Tinder, and I just do not agree with her views. They were quite rude and shallow, and it just ... me because she complains about trying to find a decent guy however she's the one with all the red flags.",anger,envent,1.0,5.0,3.0,3.0,1.0,5.0,,,2.0,2.0,3.0,3.0,,
A begger I helped last week wasn't appreciative of my kind gesture.,no-emotion,envent,1.0,4.0,5.0,5.0,1.0,4.0,,,4.0,2.0,1.0,3.0,,
a bin bag exploded in the kitchen,anger,envent,1.0,4.0,3.0,4.0,1.0,1.0,,,2.0,5.0,4.0,1.0,,
A bird pooped on my coat,disgust,envent,1.0,5.0,4.0,4.0,1.0,1.0,,,3.0,5.0,1.0,1.0,,
A birthday was thrown without me knowing about it and i was extremely ... as i had no idea at all,surprise,envent,5.0,1.0,4.0,2.0,2.0,5.0,,,3.0,2.0,4.0,5.0,,
"A building at the summer camp where I worked caught fire in the middle of the night, and as someone in a supervisory position I had to help make sure campers and staff were safe.",fear,envent,1.0,4.0,5.0,5.0,1.0,1.0,,,4.0,5.0,4.0,4.0,,
A car almost hit me,fear,envent,1.0,5.0,5.0,4.0,2.0,5.0,,,4.0,5.0,2.0,5.0,,
A car came towards mine on the outside of a bend and clipped my wing mirror,fear,envent,1.0,5.0,4.0,4.0,1.0,5.0,,,3.0,5.0,1.0,5.0,,
a car crashed near to where I was standing with my young child,fear,envent,1.0,5.0,5.0,5.0,2.0,5.0,,,4.0,5.0,3.0,5.0,,
a car nearly crashed into me at a roundabout,fear,envent,1.0,5.0,5.0,5.0,2.0,5.0,,,4.0,5.0,4.0,4.0,,
a case of mine at work told me they were ill,trust,envent,1.0,3.0,3.0,1.0,1.0,5.0,,,1.0,2.0,1.0,3.0,,
